CMDLINE c:\users\test\appdata\local\programs\python\python37\python.exe main.py
MEM 1.578125 1684149141.7485
MEM 23.230469 1684149141.8607
MEM 35.660156 1684149141.9703
MEM 83.718750 1684149142.0795
MEM 129.714844 1684149142.1897
MEM 168.960938 1684149142.2993
MEM 192.722656 1684149142.4086
MEM 201.027344 1684149142.5198
MEM 217.847656 1684149142.6294
MEM 226.515625 1684149142.7394
MEM 295.960938 1684149142.8506
MEM 421.183594 1684149142.9605
MEM 698.906250 1684149143.0721
MEM 465.933594 1684149143.1814
MEM 466.460938 1684149143.2922
MEM 483.570312 1684149143.4029
MEM 511.585938 1684149143.5130
MEM 511.585938 1684149143.6238
MEM 511.585938 1684149143.7337
MEM 511.585938 1684149143.8445
MEM 511.585938 1684149143.9544
MEM 511.585938 1684149144.0633
MEM 511.585938 1684149144.1741
MEM 511.585938 1684149144.2830
MEM 512.371094 1684149144.3994
MEM 512.371094 1684149144.5008
MEM 512.371094 1684149144.6105
MEM 512.371094 1684149144.7205
MEM 512.371094 1684149144.8309
MEM 512.371094 1684149144.9390
MEM 512.371094 1684149145.0489
MEM 512.371094 1684149145.1589
MEM 512.371094 1684149145.2670
MEM 512.371094 1684149145.3767
MEM 512.433594 1684149145.4866
MEM 512.433594 1684149145.5955
MEM 512.433594 1684149145.7052
MEM 512.433594 1684149145.8154
MEM 512.433594 1684149145.9251
MEM 512.433594 1684149146.0324
MEM 512.433594 1684149146.1432
MEM 512.433594 1684149146.2516
MEM 512.433594 1684149146.3633
MEM 512.433594 1684149146.4717
MEM 512.433594 1684149146.5820
MEM 512.433594 1684149146.6907
MEM 512.433594 1684149146.8004
MEM 512.433594 1684149146.9102
MEM 512.433594 1684149147.0187
MEM 512.433594 1684149147.1277
MEM 512.433594 1684149147.2367
MEM 512.433594 1684149147.3480
MEM 508.921875 1684149147.4559
MEM 508.921875 1684149147.5655
MEM 508.921875 1684149147.6744
MEM 559.960938 1684149147.7836
MEM 726.925781 1684149147.8933
MEM 858.550781 1684149148.0030
MEM 984.531250 1684149148.1117
MEM 1143.742188 1684149148.2204
MEM 1317.617188 1684149148.3311
MEM 1491.792969 1684149148.4388
MEM 1654.667969 1684149148.5495
MEM 1774.019531 1684149148.6582
MEM 1896.523438 1684149148.7680
MEM 2049.023438 1684149148.8767
MEM 2237.355469 1684149148.9864
MEM 2399.042969 1684149149.0963
MEM 2580.824219 1684149149.2050
MEM 2739.671875 1684149149.3147
MEM 2915.101562 1684149149.4234
MEM 3072.589844 1684149149.5324
MEM 3225.531250 1684149149.6426
MEM 3393.234375 1684149149.7518
MEM 3562.281250 1684149149.8615
MEM 3723.972656 1684149149.9723
MEM 3873.988281 1684149150.0836
MEM 4034.726562 1684149150.1913
MEM 4031.332031 1684149150.3021
MEM 4031.406250 1684149150.4118
MEM 4063.460938 1684149150.5214
MEM 4161.859375 1684149150.6293
MEM 4161.933594 1684149150.7387
MEM 4162.335938 1684149150.8482
MEM 4016.140625 1684149150.9585
MEM 4163.277344 1684149151.0642
MEM 4163.347656 1684149151.1739
MEM 4163.347656 1684149151.2826
MEM 4163.355469 1684149151.3923
MEM 4163.347656 1684149151.5020
MEM 4140.414062 1684149151.6107
MEM 4108.960938 1684149151.7209
MEM 4102.351562 1684149151.8306
MEM 4093.179688 1684149151.9393
MEM 4087.601562 1684149152.0490
MEM 4073.605469 1684149152.1587
MEM 4055.960938 1684149152.2674
MEM 4023.550781 1684149152.3761
MEM 4016.476562 1684149152.4864
MEM 4163.542969 1684149152.5951
MEM 4163.542969 1684149152.7055
MEM 4163.542969 1684149152.8152
MEM 4126.320312 1684149152.9244
MEM 4071.171875 1684149153.0332
MEM 4035.464844 1684149153.1426
MEM 4016.546875 1684149153.2523
MEM 4163.542969 1684149153.3606
MEM 4163.542969 1684149153.4703
MEM 4163.542969 1684149153.5802
MEM 4163.125000 1684149153.6900
MEM 4114.394531 1684149153.7992
MEM 4073.718750 1684149153.9084
MEM 4034.542969 1684149154.0171
MEM 4016.546875 1684149154.1254
MEM 4163.542969 1684149154.2361
MEM 4163.542969 1684149154.3456
MEM 4163.542969 1684149154.4553
MEM 4163.542969 1684149154.5646
MEM 4113.113281 1684149154.6736
MEM 4073.847656 1684149154.7833
MEM 4043.589844 1684149154.8946
MEM 4016.542969 1684149155.0049
MEM 4163.542969 1684149155.1106
MEM 4163.542969 1684149155.2213
MEM 4163.542969 1684149155.3300
MEM 4163.542969 1684149155.4407
MEM 4106.843750 1684149155.5484
MEM 4058.542969 1684149155.6581
MEM 4031.558594 1684149155.7678
MEM 4016.546875 1684149155.8773
MEM 4163.542969 1684149155.9880
MEM 4163.542969 1684149156.0978
MEM 4163.542969 1684149156.2046
MEM 4139.968750 1684149156.3133
MEM 4088.382812 1684149156.4235
MEM 4057.605469 1684149156.5333
MEM 4021.097656 1684149156.6422
MEM 4016.546875 1684149156.7524
MEM 4163.542969 1684149156.8631
MEM 4163.542969 1684149156.9718
MEM 4163.542969 1684149157.0805
MEM 4163.542969 1684149157.1902
MEM 4122.929688 1684149157.2989
MEM 4078.984375 1684149157.4066
MEM 4034.222656 1684149157.5164
MEM 4016.546875 1684149157.6271
MEM 4163.542969 1684149157.7365
MEM 4163.542969 1684149157.8452
MEM 4163.542969 1684149157.9559
MEM 4163.542969 1684149158.0640
MEM 4136.988281 1684149158.1727
MEM 4092.933594 1684149158.2834
MEM 4052.542969 1684149158.3921
MEM 4016.546875 1684149158.5018
MEM 4091.550781 1684149158.6105
MEM 4163.542969 1684149158.7212
MEM 4163.542969 1684149158.8289
MEM 4163.542969 1684149158.9386
MEM 4133.394531 1684149159.0483
MEM 4107.550781 1684149159.1580
MEM 4066.074219 1684149159.2677
MEM 4023.054688 1684149159.3775
MEM 4099.238281 1684149159.4866
MEM 4163.542969 1684149159.5978
MEM 4163.542969 1684149159.7045
MEM 4163.542969 1684149159.8132
MEM 4127.140625 1684149159.9239
MEM 4086.917969 1684149160.0336
MEM 4037.488281 1684149160.1423
MEM 4016.546875 1684149160.2512
MEM 4163.542969 1684149160.3609
MEM 4163.542969 1684149160.4716
MEM 4163.542969 1684149160.5814
MEM 4153.683594 1684149160.6899
MEM 4098.089844 1684149160.7996
MEM 4053.785156 1684149160.9093
MEM 4026.476562 1684149161.0190
MEM 4016.550781 1684149161.1278
MEM 4163.546875 1684149161.2365
MEM 4163.546875 1684149161.3452
MEM 4163.546875 1684149161.4550
MEM 4151.445312 1684149161.5647
MEM 4099.843750 1684149161.6744
MEM 4074.906250 1684149161.7841
MEM 4035.484375 1684149161.8938
MEM 4021.914062 1684149162.0018
MEM 4163.128906 1684149162.1115
MEM 4163.128906 1684149162.2203
MEM 4163.132812 1684149162.3304
MEM 4056.824219 1684149162.4406
MEM 4031.136719 1684149162.5484
MEM 4016.140625 1684149162.6581
MEM 4022.507812 1684149162.7689
MEM 4112.703125 1684149162.8764
MEM 4112.714844 1684149162.9852
MEM 4112.761719 1684149163.0944
MEM 4112.761719 1684149163.2036
MEM 4112.765625 1684149163.3121
MEM 4112.765625 1684149163.4226
MEM 4112.765625 1684149163.5333
MEM 4119.078125 1684149163.6411
MEM 4119.078125 1684149163.7500
MEM 4119.078125 1684149163.8606
MEM 4119.078125 1684149163.9709
MEM 4119.078125 1684149164.0801
MEM 4119.078125 1684149164.1902
MEM 4119.078125 1684149164.2987
MEM 4119.074219 1684149164.4094
MEM 4119.753906 1684149164.5201
MEM 4119.753906 1684149164.6293
MEM 4119.753906 1684149164.7398
MEM 4119.753906 1684149164.8486
MEM 4119.753906 1684149164.9554
MEM 4119.753906 1684149165.0636
MEM 4119.753906 1684149165.1739
MEM 4119.753906 1684149165.2843
MEM 4119.753906 1684149165.3914
MEM 4119.824219 1684149165.5021
MEM 4119.824219 1684149165.6124
MEM 4119.824219 1684149165.7210
MEM 4119.824219 1684149165.8293
MEM 4119.824219 1684149165.9391
MEM 4119.824219 1684149166.0504
MEM 4119.824219 1684149166.1592
MEM 4119.824219 1684149166.2676
MEM 4119.824219 1684149166.3775
MEM 4119.824219 1684149166.4854
MEM 4119.824219 1684149166.5953
MEM 4119.824219 1684149166.7061
MEM 4119.824219 1684149166.8169
