CMDLINE c:\users\test\appdata\local\programs\python\python37\python.exe main.py
MEM 1.570312 1684238069.8103
MEM 23.457031 1684238069.9235
MEM 35.972656 1684238070.0324
MEM 96.734375 1684238070.1435
MEM 135.468750 1684238070.2538
MEM 176.804688 1684238070.3630
MEM 194.195312 1684238070.4738
MEM 201.773438 1684238070.5843
MEM 219.167969 1684238070.6956
MEM 227.757812 1684238070.8054
MEM 313.625000 1684238070.9152
MEM 444.144531 1684238071.0269
MEM 465.847656 1684238071.1366
MEM 465.847656 1684238071.2481
MEM 470.007812 1684238071.3588
MEM 511.484375 1684238071.4692
MEM 511.484375 1684238071.5798
MEM 511.484375 1684238071.6878
MEM 511.484375 1684238071.7976
MEM 511.484375 1684238071.9093
MEM 511.484375 1684238072.0176
MEM 511.484375 1684238072.1280
MEM 511.484375 1684238072.2371
MEM 511.484375 1684238072.3454
MEM 511.484375 1684238072.4548
MEM 511.484375 1684238072.5653
MEM 511.484375 1684238072.6763
MEM 511.484375 1684238072.7840
MEM 511.484375 1684238072.8945
MEM 511.484375 1684238073.0020
MEM 511.484375 1684238073.1117
MEM 511.484375 1684238073.2206
MEM 511.484375 1684238073.3317
MEM 511.500000 1684238073.4421
MEM 511.500000 1684238073.5528
MEM 511.500000 1684238073.6626
MEM 511.500000 1684238073.7719
MEM 511.500000 1684238073.8825
MEM 511.500000 1684238073.9944
MEM 511.500000 1684238074.1060
MEM 511.500000 1684238074.2170
MEM 511.871094 1684238074.3281
MEM 511.871094 1684238074.4369
MEM 511.871094 1684238074.5462
MEM 511.871094 1684238074.6561
MEM 511.871094 1684238074.7658
MEM 511.871094 1684238074.8770
MEM 511.871094 1684238074.9868
MEM 511.871094 1684238075.0959
MEM 511.871094 1684238075.2070
MEM 508.464844 1684238075.3139
MEM 508.464844 1684238075.4246
MEM 508.464844 1684238075.5343
MEM 523.070312 1684238075.6430
MEM 682.542969 1684238075.7527
MEM 840.519531 1684238075.8624
MEM 974.054688 1684238075.9711
MEM 1108.171875 1684238076.0814
MEM 1281.992188 1684238076.1898
MEM 1454.628906 1684238076.2990
MEM 1624.003906 1684238076.4077
MEM 1751.203125 1684238076.5170
MEM 1851.753906 1684238076.6247
MEM 2034.250000 1684238076.7339
MEM 2217.023438 1684238076.8452
MEM 2396.023438 1684238076.9549
MEM 2590.933594 1684238077.0651
MEM 2779.875000 1684238077.1708
MEM 2939.359375 1684238077.2813
MEM 3072.410156 1684238077.3920
MEM 3223.519531 1684238077.5020
MEM 3387.222656 1684238077.6110
MEM 3579.058594 1684238077.7215
MEM 3721.421875 1684238077.8302
MEM 3875.394531 1684238077.9399
MEM 4028.281250 1684238078.0499
MEM 4029.589844 1684238078.1578
MEM 4029.671875 1684238078.2688
MEM 4102.542969 1684238078.3773
MEM 4162.417969 1684238078.4870
MEM 4162.710938 1684238078.5937
MEM 4162.984375 1684238078.7044
MEM 4163.691406 1684238078.8137
MEM 4163.683594 1684238078.9230
MEM 4163.746094 1684238079.0337
MEM 4154.945312 1684238079.1439
MEM 4114.339844 1684238079.2520
MEM 4074.414062 1684238079.3600
MEM 4041.964844 1684238079.4697
MEM 4036.597656 1684238079.5810
MEM 4033.585938 1684238079.6913
MEM 4026.585938 1684238079.8001
MEM 4016.980469 1684238079.9088
MEM 4164.062500 1684238080.0180
MEM 4164.062500 1684238080.1277
MEM 4164.062500 1684238080.2370
MEM 4149.042969 1684238080.3444
MEM 4123.503906 1684238080.4561
MEM 4079.191406 1684238080.5638
MEM 4044.242188 1684238080.6751
MEM 4017.066406 1684238080.7838
MEM 4112.757812 1684238080.8931
MEM 4164.062500 1684238081.0019
MEM 4164.062500 1684238081.1118
MEM 4164.062500 1684238081.2212
MEM 4164.062500 1684238081.3309
MEM 4121.105469 1684238081.4397
MEM 4084.464844 1684238081.5491
MEM 4045.062500 1684238081.6578
MEM 4017.066406 1684238081.7670
MEM 4132.757812 1684238081.8777
MEM 4164.062500 1684238081.9871
MEM 4164.062500 1684238082.0968
MEM 4164.062500 1684238082.2074
MEM 4153.281250 1684238082.3151
MEM 4129.449219 1684238082.4248
MEM 4088.593750 1684238082.5331
MEM 4067.457031 1684238082.6438
MEM 4034.050781 1684238082.7532
MEM 4017.066406 1684238082.8619
MEM 4164.062500 1684238082.9703
MEM 4164.062500 1684238083.0810
MEM 4164.062500 1684238083.1902
MEM 4157.062500 1684238083.2990
MEM 4090.144531 1684238083.4077
MEM 4043.437500 1684238083.5173
MEM 4017.066406 1684238083.6271
MEM 4164.062500 1684238083.7379
MEM 4164.062500 1684238083.8456
MEM 4164.062500 1684238083.9553
MEM 4147.136719 1684238084.0638
MEM 4097.421875 1684238084.1735
MEM 4060.574219 1684238084.2832
MEM 4017.066406 1684238084.3929
MEM 4164.062500 1684238084.5016
MEM 4164.062500 1684238084.6108
MEM 4164.062500 1684238084.7215
MEM 4127.753906 1684238084.8298
MEM 4080.031250 1684238084.9390
MEM 4043.062500 1684238085.0495
MEM 4017.066406 1684238085.1593
MEM 4122.746094 1684238085.2669
MEM 4164.062500 1684238085.3756
MEM 4164.062500 1684238085.4863
MEM 4164.062500 1684238085.5950
MEM 4164.062500 1684238085.7047
MEM 4151.062500 1684238085.8152
MEM 4116.687500 1684238085.9229
MEM 4090.429688 1684238086.0336
MEM 4045.031250 1684238086.1423
MEM 4017.066406 1684238086.2520
MEM 4104.757812 1684238086.3615
MEM 4164.062500 1684238086.4708
MEM 4164.062500 1684238086.5796
MEM 4164.062500 1684238086.6895
MEM 4164.062500 1684238086.7981
MEM 4153.710938 1684238086.9078
MEM 4114.082031 1684238087.0175
MEM 4068.566406 1684238087.1242
MEM 4046.621094 1684238087.2359
MEM 4021.312500 1684238087.3454
MEM 4037.320312 1684238087.4541
MEM 4164.062500 1684238087.5648
MEM 4164.062500 1684238087.6735
MEM 4164.062500 1684238087.7832
MEM 4164.062500 1684238087.8939
MEM 4125.062500 1684238088.0029
MEM 4083.488281 1684238088.1122
MEM 4056.839844 1684238088.2209
MEM 4032.398438 1684238088.3286
MEM 4017.066406 1684238088.4401
MEM 4154.757812 1684238088.5503
MEM 4164.062500 1684238088.6611
MEM 4164.062500 1684238088.7708
MEM 4164.062500 1684238088.8785
MEM 4164.062500 1684238088.9878
MEM 4138.062500 1684238089.0955
MEM 4104.726562 1684238089.2062
MEM 4057.460938 1684238089.3149
MEM 4023.378906 1684238089.4246
MEM 4030.375000 1684238089.5339
MEM 4163.718750 1684238089.6426
MEM 4163.718750 1684238089.7513
MEM 4163.718750 1684238089.8620
MEM 4163.718750 1684238089.9706
MEM 4163.718750 1684238090.0801
MEM 4163.718750 1684238090.1898
MEM 4163.718750 1684238090.2995
MEM 4046.414062 1684238090.4093
MEM 4113.292969 1684238090.5180
MEM 4113.304688 1684238090.6259
MEM 4113.351562 1684238090.7346
MEM 4113.351562 1684238090.8436
MEM 4113.355469 1684238090.9530
MEM 4113.355469 1684238091.0639
MEM 4113.355469 1684238091.1756
MEM 4119.976562 1684238091.2849
MEM 4119.976562 1684238091.3960
MEM 4119.976562 1684238091.5026
MEM 4119.976562 1684238091.6125
MEM 4119.976562 1684238091.7218
MEM 4119.976562 1684238091.8301
MEM 4119.976562 1684238091.9394
MEM 4119.976562 1684238092.0496
MEM 4119.976562 1684238092.1581
MEM 4120.199219 1684238092.2679
MEM 4120.199219 1684238092.3771
MEM 4120.199219 1684238092.4882
MEM 4120.199219 1684238092.5979
MEM 4120.199219 1684238092.7088
MEM 4120.199219 1684238092.8163
MEM 4120.199219 1684238092.9255
