CMDLINE c:\users\test\appdata\local\programs\python\python37\python.exe main.py
MEM 1.570312 1684237172.2626
MEM 23.484375 1684237172.3773
MEM 36.140625 1684237172.4868
MEM 93.617188 1684237172.5956
MEM 135.722656 1684237172.7063
MEM 177.242188 1684237172.8144
MEM 194.675781 1684237172.9239
MEM 202.328125 1684237173.0326
MEM 219.804688 1684237173.1424
MEM 227.777344 1684237173.2518
MEM 335.398438 1684237173.3606
MEM 462.757812 1684237173.4713
MEM 465.910156 1684237173.5790
MEM 467.085938 1684237173.6887
MEM 492.855469 1684237173.7984
MEM 511.417969 1684237173.9081
MEM 511.417969 1684237174.0184
MEM 511.417969 1684237174.1272
MEM 511.417969 1684237174.2350
MEM 511.417969 1684237174.3458
MEM 511.417969 1684237174.4551
MEM 511.417969 1684237174.5648
MEM 511.417969 1684237174.6739
MEM 512.218750 1684237174.7846
MEM 512.218750 1684237174.8917
MEM 512.218750 1684237175.0030
MEM 512.218750 1684237175.1119
MEM 512.218750 1684237175.2222
MEM 512.218750 1684237175.3328
MEM 512.218750 1684237175.4424
MEM 512.218750 1684237175.5508
MEM 512.218750 1684237175.6613
MEM 512.253906 1684237175.7717
MEM 512.253906 1684237175.8833
MEM 512.253906 1684237175.9939
MEM 512.253906 1684237176.1038
MEM 512.253906 1684237176.2156
MEM 512.253906 1684237176.3248
MEM 512.253906 1684237176.4339
MEM 512.253906 1684237176.5450
MEM 512.253906 1684237176.6560
MEM 512.257812 1684237176.7657
MEM 512.257812 1684237176.8759
MEM 512.257812 1684237176.9866
MEM 512.257812 1684237177.0964
MEM 512.257812 1684237177.2060
MEM 512.257812 1684237177.3174
MEM 512.257812 1684237177.4240
MEM 512.257812 1684237177.5339
MEM 512.257812 1684237177.6444
MEM 508.703125 1684237177.7541
MEM 508.703125 1684237177.8608
MEM 508.703125 1684237177.9707
MEM 560.609375 1684237178.0804
MEM 758.976562 1684237178.1901
MEM 862.519531 1684237178.2998
MEM 1006.507812 1684237178.4075
MEM 1161.492188 1684237178.5192
MEM 1325.296875 1684237178.6269
MEM 1500.406250 1684237178.7366
MEM 1666.527344 1684237178.8453
MEM 1778.875000 1684237178.9540
MEM 1905.574219 1684237179.0638
MEM 2095.601562 1684237179.1755
MEM 2277.453125 1684237179.2830
MEM 2462.773438 1684237179.3947
MEM 2616.996094 1684237179.5044
MEM 2789.484375 1684237179.6116
MEM 2961.699219 1684237179.7200
MEM 3086.281250 1684237179.8316
MEM 3274.898438 1684237179.9428
MEM 3415.910156 1684237180.0508
