CMDLINE c:\users\test\appdata\local\programs\python\python37\python.exe main.py
MEM 1.707031 1684231680.8208
MEM 22.105469 1684231680.9222
MEM 35.070312 1684231681.0320
MEM 61.886719 1684231681.1434
MEM 124.945312 1684231681.2532
MEM 165.660156 1684231681.3629
MEM 190.406250 1684231681.4723
MEM 199.558594 1684231681.5814
MEM 213.578125 1684231681.6906
MEM 224.062500 1684231681.7989
MEM 250.824219 1684231681.9078
MEM 361.136719 1684231682.0175
MEM 591.332031 1684231682.1282
MEM 465.875000 1684231682.2376
MEM 467.394531 1684231682.3492
MEM 500.292969 1684231682.4606
MEM 511.640625 1684231682.5716
MEM 511.640625 1684231682.6807
MEM 511.640625 1684231682.7918
MEM 511.640625 1684231682.9036
MEM 511.640625 1684231683.0143
MEM 511.640625 1684231683.1246
MEM 511.640625 1684231683.2348
MEM 511.640625 1684231683.3448
MEM 511.941406 1684231683.4579
MEM 511.941406 1684231683.5628
MEM 511.941406 1684231683.6713
MEM 511.941406 1684231683.7817
MEM 511.941406 1684231683.8930
MEM 511.941406 1684231684.0038
MEM 511.941406 1684231684.1150
MEM 511.941406 1684231684.2228
MEM 511.941406 1684231684.3338
MEM 511.972656 1684231684.4426
MEM 511.972656 1684231684.5512
MEM 511.972656 1684231684.6604
MEM 511.972656 1684231684.7673
MEM 511.972656 1684231684.8770
MEM 511.972656 1684231684.9862
MEM 511.972656 1684231685.0957
MEM 511.972656 1684231685.2065
MEM 511.972656 1684231685.3140
MEM 512.164062 1684231685.4228
MEM 512.164062 1684231685.5334
MEM 512.164062 1684231685.6429
MEM 512.164062 1684231685.7536
MEM 512.164062 1684231685.8614
MEM 512.164062 1684231685.9699
MEM 512.164062 1684231686.0785
MEM 512.164062 1684231686.1886
MEM 512.164062 1684231686.2989
MEM 508.640625 1684231686.4078
MEM 508.640625 1684231686.5175
MEM 508.640625 1684231686.6272
MEM 508.640625 1684231686.7359
MEM 589.355469 1684231686.8456
MEM 790.703125 1684231686.9549
MEM 929.246094 1684231687.0635
MEM 1093.703125 1684231687.1736
MEM 1214.234375 1684231687.2826
MEM 1388.199219 1684231687.3924
MEM 1584.707031 1684231687.5011
MEM 1718.859375 1684231687.6114
MEM 1804.378906 1684231687.7221
MEM 1993.574219 1684231687.8312
MEM 2168.035156 1684231687.9382
MEM 2360.164062 1684231688.0482
MEM 2526.554688 1684231688.1579
MEM 2697.445312 1684231688.2676
MEM 2894.058594 1684231688.3775
MEM 3053.218750 1684231688.4872
MEM 3174.574219 1684231688.5954
MEM 3341.578125 1684231688.7054
MEM 3520.781250 1684231688.8138
MEM 3675.375000 1684231688.9235
MEM 3858.980469 1684231689.0332
MEM 4002.234375 1684231689.1413
MEM 4029.941406 1684231689.2520
MEM 4031.257812 1684231689.3627
MEM 4045.488281 1684231689.4701
MEM 4161.437500 1684231689.5808
MEM 4161.511719 1684231689.6889
MEM 4161.910156 1684231689.7996
MEM 4132.042969 1684231689.9098
MEM 4075.570312 1684231690.0195
MEM 4060.296875 1684231690.1290
MEM 4028.000000 1684231690.2378
MEM 4015.882812 1684231690.3480
MEM 4162.878906 1684231690.4567
MEM 4162.875000 1684231690.5655
MEM 4142.902344 1684231690.6742
MEM 4090.820312 1684231690.7819
MEM 4056.207031 1684231690.8926
MEM 4021.878906 1684231691.0013
MEM 4055.886719 1684231691.1116
MEM 4162.878906 1684231691.2224
MEM 4162.878906 1684231691.3301
MEM 4162.878906 1684231691.4398
MEM 4138.878906 1684231691.5485
MEM 4090.093750 1684231691.6570
MEM 4055.878906 1684231691.7674
MEM 4015.882812 1684231691.8761
MEM 4162.878906 1684231691.9853
MEM 4162.878906 1684231692.0950
MEM 4162.878906 1684231692.2047
MEM 4162.878906 1684231692.3154
MEM 4133.554688 1684231692.4241
MEM 4091.605469 1684231692.5338
MEM 4046.851562 1684231692.6424
MEM 4015.886719 1684231692.7521
MEM 4162.882812 1684231692.8588
MEM 4162.882812 1684231692.9705
MEM 4162.882812 1684231693.0812
MEM 4125.562500 1684231693.1899
MEM 4074.886719 1684231693.2996
MEM 4034.519531 1684231693.4086
MEM 4020.890625 1684231693.5193
MEM 4162.882812 1684231693.6280
MEM 4162.882812 1684231693.7367
MEM 4162.882812 1684231693.8454
MEM 4139.386719 1684231693.9551
MEM 4089.941406 1684231694.0649
MEM 4049.007812 1684231694.1746
MEM 4015.886719 1684231694.2843
MEM 4137.890625 1684231694.3940
MEM 4162.882812 1684231694.5047
MEM 4162.882812 1684231694.6154
MEM 4162.882812 1684231694.7268
MEM 4140.503906 1684231694.8381
MEM 4086.007812 1684231694.9492
MEM 4037.464844 1684231695.0595
MEM 4015.886719 1684231695.1712
MEM 4136.890625 1684231695.2829
MEM 4162.882812 1684231695.3926
MEM 4162.882812 1684231695.5013
MEM 4162.882812 1684231695.6100
MEM 4099.121094 1684231695.7195
MEM 4026.539062 1684231695.8292
MEM 4055.890625 1684231695.9399
MEM 4162.882812 1684231696.0476
MEM 4162.882812 1684231696.1582
MEM 4161.078125 1684231696.2679
MEM 4107.867188 1684231696.3783
MEM 4054.648438 1684231696.4865
MEM 4015.886719 1684231696.5946
MEM 4162.882812 1684231696.7053
MEM 4162.882812 1684231696.8140
MEM 4162.882812 1684231696.9217
MEM 4122.765625 1684231697.0314
MEM 4073.628906 1684231697.1419
MEM 4045.066406 1684231697.2536
MEM 4015.886719 1684231697.3613
MEM 4162.882812 1684231697.4710
MEM 4162.882812 1684231697.5792
MEM 4162.882812 1684231697.6889
MEM 4143.765625 1684231697.7992
MEM 4087.003906 1684231697.9076
MEM 4046.949219 1684231698.0173
MEM 4015.890625 1684231698.1275
MEM 4162.886719 1684231698.2368
MEM 4162.886719 1684231698.3455
MEM 4162.886719 1684231698.4552
MEM 4137.886719 1684231698.5639
MEM 4086.437500 1684231698.6736
MEM 4048.789062 1684231698.7843
MEM 4015.890625 1684231698.8930
MEM 4162.886719 1684231699.0027
MEM 4162.886719 1684231699.1114
MEM 4162.886719 1684231699.2211
MEM 4122.503906 1684231699.3300
MEM 4079.699219 1684231699.4397
MEM 4047.968750 1684231699.5509
MEM 4015.890625 1684231699.6598
MEM 4162.886719 1684231699.7690
MEM 4162.886719 1684231699.8776
MEM 4162.886719 1684231699.9871
MEM 4147.886719 1684231700.0958
MEM 4098.886719 1684231700.2045
