CMDLINE c:\users\test\appdata\local\programs\python\python37\python.exe main.py
MEM 1.570312 1684157555.5435
MEM 23.328125 1684157555.6563
MEM 36.125000 1684157555.7677
MEM 75.488281 1684157555.8789
MEM 127.250000 1684157555.9877
MEM 167.339844 1684157556.0957
MEM 191.339844 1684157556.2045
MEM 199.671875 1684157556.3152
MEM 217.695312 1684157556.4241
MEM 226.082031 1684157556.5330
MEM 282.988281 1684157556.6429
MEM 406.484375 1684157556.7526
MEM 699.281250 1684157556.8632
MEM 466.308594 1684157556.9729
MEM 467.519531 1684157557.0797
MEM 504.644531 1684157557.1894
MEM 593.394531 1684157557.2982
MEM 724.867188 1684157557.4079
MEM 727.824219 1684157557.5182
MEM 591.074219 1684157557.6289
MEM 875.019531 1684157557.7368
MEM 623.058594 1684157557.8454
MEM 588.929688 1684157557.9540
MEM 629.257812 1684157558.0657
MEM 581.359375 1684157558.1769
MEM 586.566406 1684157558.2867
MEM 586.566406 1684157558.3953
MEM 586.566406 1684157558.5040
MEM 586.566406 1684157558.6138
MEM 586.566406 1684157558.7231
MEM 586.566406 1684157558.8336
MEM 586.566406 1684157558.9436
MEM 586.566406 1684157559.0503
MEM 586.570312 1684157559.1676
MEM 586.570312 1684157559.2827
MEM 586.570312 1684157559.3926
MEM 586.570312 1684157559.5018
MEM 586.570312 1684157559.6130
MEM 586.570312 1684157559.7222
MEM 586.570312 1684157559.8333
MEM 586.570312 1684157559.9420
MEM 586.570312 1684157560.0522
MEM 586.570312 1684157560.1618
MEM 586.570312 1684157560.2706
MEM 586.570312 1684157560.3795
MEM 586.570312 1684157560.4859
MEM 586.570312 1684157560.5956
MEM 586.570312 1684157560.7054
MEM 586.570312 1684157560.8131
MEM 586.570312 1684157560.9233
MEM 586.570312 1684157561.0329
MEM 586.570312 1684157561.1409
MEM 586.570312 1684157561.2522
MEM 586.570312 1684157561.3620
MEM 586.570312 1684157561.4728
MEM 586.570312 1684157561.5846
MEM 586.570312 1684157561.6950
MEM 586.570312 1684157561.8070
MEM 586.570312 1684157561.9190
MEM 586.570312 1684157562.0283
MEM 582.562500 1684157562.1380
MEM 582.562500 1684157562.2490
MEM 582.562500 1684157562.3580
MEM 742.062500 1684157562.4689
MEM 867.656250 1684157562.5798
MEM 1016.371094 1684157562.6895
MEM 1145.097656 1684157562.8001
MEM 1291.207031 1684157562.9090
MEM 1458.195312 1684157563.0171
MEM 1622.027344 1684157563.1278
MEM 1753.320312 1684157563.2375
MEM 1848.199219 1684157563.3482
MEM 2038.335938 1684157563.4570
MEM 2231.593750 1684157563.5680
MEM 2396.136719 1684157563.6781
MEM 2578.125000 1684157563.7881
MEM 2759.828125 1684157563.8980
MEM 2924.054688 1684157564.0094
MEM 3074.800781 1684157564.1211
MEM 3074.925781 1684157564.2328
MEM 3170.773438 1684157564.3438
MEM 3339.160156 1684157564.4545
MEM 3512.210938 1684157564.5639
MEM 3680.937500 1684157564.6746
MEM 3824.894531 1684157564.7829
MEM 4000.078125 1684157564.8929
MEM 4030.265625 1684157565.0010
MEM 4031.585938 1684157565.1119
MEM 4032.789062 1684157565.2209
MEM 3888.921875 1684157565.3308
MEM 3922.867188 1684157565.4399
MEM 3952.843750 1684157565.5511
MEM 3969.468750 1684157565.6578
MEM 3976.769531 1684157565.7675
MEM 4002.429688 1684157565.8762
